State / County / Place,Total Population,"White alone, Not Hispanic",White Alone Percent of Total,"Black or African American alone, Not Hispanic",Black Alone Percent of Total,"American Indian and Alaska Native alone, Not Hispanic",AIAN Percent of Total,"Asian alone, Not Hispanic",Asian Percent of Total,"Native Hawaiian and Other Pacific Islander alone, Not Hispanic",NHOPI Percent of Total,"Some other race alone, Not Hispanic",Other Percent of Total,"Two or more races, Not Hispanic",Two Plus Percent of Total,Hispanic/ Latino (2),PERCENT_HISP,PERCENT_WHITE,Summary level,State,County,Census Tract
Census Tract 120.02,"3,394",167,4.90%,170,5.00%,7,0.20%,"1,557",45.90%,17,0.50%,11,0.30%,80,2.40%,"1,385",0.41,0.05,140,6,73,12002
Census Tract 120.03,"3,372",316,9.40%,82,2.40%,9,0.30%,893,26.50%,7,0.20%,8,0.20%,106,3.10%,"1,951",0.58,0.09,140,6,73,12003
Census Tract 121.01,"2,167",271,12.50%,34,1.60%,5,0.20%,209,9.60%,21,1.00%,7,0.30%,61,2.80%,"1,559",0.72,0.13,140,6,73,12101
Census Tract 121.02,"3,160",298,9.40%,77,2.40%,0,0.00%,345,10.90%,8,0.30%,6,0.20%,73,2.30%,"2,353",0.75,0.09,140,6,73,12102
Census Tract 122,"3,513",344,9.80%,89,2.50%,10,0.30%,290,8.30%,17,0.50%,3,0.10%,82,2.30%,"2,678",0.76,0.1,140,6,73,12200
Census Tract 123.02,"1,889",335,17.70%,59,3.10%,4,0.20%,125,6.60%,5,0.30%,3,0.20%,65,3.40%,"1,293",0.68,0.18,140,6,73,12302
Census Tract 123.03,"3,669","1,104",30.10%,182,5.00%,17,0.50%,220,6.00%,19,0.50%,11,0.30%,89,2.40%,"2,027",0.55,0.3,140,6,73,12303
Census Tract 123.04,"3,997","1,150",28.80%,113,2.80%,13,0.30%,248,6.20%,11,0.30%,28,0.70%,158,4.00%,"2,276",0.57,0.29,140,6,73,12304
Census Tract 124.01,"3,693",454,12.30%,122,3.30%,14,0.40%,227,6.10%,23,0.60%,13,0.40%,101,2.70%,"2,739",0.74,0.12,140,6,73,12401
Census Tract 124.02,"5,822",785,13.50%,216,3.70%,2,0.00%,240,4.10%,10,0.20%,42,0.70%,128,2.20%,"4,399",0.76,0.13,140,6,73,12402
Census Tract 125.01,"4,401",353,8.00%,210,4.80%,7,0.20%,182,4.10%,37,0.80%,20,0.50%,79,1.80%,"3,513",0.8,0.08,140,6,73,12501
Census Tract 125.02,"4,576",427,9.30%,212,4.60%,6,0.10%,262,5.70%,12,0.30%,9,0.20%,104,2.30%,"3,544",0.77,0.09,140,6,73,12502
Census Tract 126,"5,143",594,11.50%,166,3.20%,13,0.30%,196,3.80%,22,0.40%,10,0.20%,108,2.10%,"4,034",0.78,0.12,140,6,73,12600
Census Tract 127,"4,945",575,11.60%,231,4.70%,14,0.30%,235,4.80%,17,0.30%,8,0.20%,108,2.20%,"3,757",0.76,0.12,140,6,73,12700
Census Tract 128,"4,009",912,22.70%,59,1.50%,0,0.00%,156,3.90%,18,0.40%,28,0.70%,86,2.10%,"2,750",0.69,0.23,140,6,73,12800
Census Tract 129,"3,540",911,25.70%,80,2.30%,6,0.20%,173,4.90%,2,0.10%,2,0.10%,92,2.60%,"2,274",0.64,0.26,140,6,73,12900
Census Tract 130,"5,997",891,14.90%,269,4.50%,31,0.50%,279,4.70%,34,0.60%,21,0.40%,163,2.70%,"4,309",0.72,0.15,140,6,73,13000
Census Tract 131.02,"7,294",832,11.40%,468,6.40%,9,0.10%,340,4.70%,41,0.60%,51,0.70%,187,2.60%,"5,366",0.74,0.11,140,6,73,13102
Census Tract 131.03,"2,922",276,9.40%,83,2.80%,6,0.20%,101,3.50%,22,0.80%,11,0.40%,54,1.80%,"2,369",0.81,0.09,140,6,73,13103
Census Tract 131.04,"6,017",523,8.70%,199,3.30%,14,0.20%,273,4.50%,24,0.40%,36,0.60%,104,1.70%,"4,844",0.81,0.09,140,6,73,13104
Census Tract 132.03,"6,471",431,6.70%,125,1.90%,4,0.10%,282,4.40%,10,0.20%,24,0.40%,82,1.30%,"5,513",0.85,0.07,140,6,73,13203
Census Tract 132.04,"4,114",215,5.20%,54,1.30%,5,0.10%,117,2.80%,5,0.10%,13,0.30%,74,1.80%,"3,631",0.88,0.05,140,6,73,13204
Census Tract 132.05,"2,473",178,7.20%,95,3.80%,1,0.00%,81,3.30%,0,0.00%,3,0.10%,40,1.60%,"2,075",0.84,0.07,140,6,73,13205
Census Tract 132.06,"6,909",598,8.70%,150,2.20%,5,0.10%,250,3.60%,6,0.10%,16,0.20%,87,1.30%,"5,797",0.84,0.09,140,6,73,13206
Census Tract 133.01,"5,271","1,033",19.60%,101,1.90%,13,0.20%,242,4.60%,23,0.40%,18,0.30%,176,3.30%,"3,665",0.7,0.2,140,6,73,13301
Census Tract 133.02,"5,073",878,17.30%,88,1.70%,20,0.40%,271,5.30%,13,0.30%,22,0.40%,138,2.70%,"3,643",0.72,0.17,140,6,73,13302
Census Tract 133.03,"5,130",565,11.00%,103,2.00%,12,0.20%,274,5.30%,40,0.80%,12,0.20%,99,1.90%,"4,025",0.79,0.11,140,6,73,13303
Census Tract 133.06,"4,615",566,12.30%,138,3.00%,13,0.30%,445,9.60%,9,0.20%,25,0.50%,116,2.50%,"3,303",0.72,0.12,140,6,73,13306
Census Tract 133.07,"4,274",408,9.50%,130,3.00%,7,0.20%,384,9.00%,12,0.30%,6,0.10%,119,2.80%,"3,208",0.75,0.1,140,6,73,13307
Census Tract 133.08,"3,962",292,7.40%,104,2.60%,18,0.50%,115,2.90%,4,0.10%,19,0.50%,94,2.40%,"3,316",0.84,0.07,140,6,73,13308
Census Tract 133.09,"6,866","1,095",15.90%,172,2.50%,7,0.10%,"1,111",16.20%,42,0.60%,20,0.30%,270,3.90%,"4,149",0.6,0.16,140,6,73,13309
Census Tract 133.12,"2,798",350,12.50%,64,2.30%,4,0.10%,158,5.60%,22,0.80%,9,0.30%,94,3.40%,"2,097",0.75,0.13,140,6,73,13312
Census Tract 133.15,"3,431",745,21.70%,183,5.30%,1,0.00%,727,21.20%,7,0.20%,16,0.50%,172,5.00%,"1,580",0.46,0.22,140,6,73,13315
Census Tract 133.16,"7,461","1,370",18.40%,349,4.70%,4,0.10%,"1,662",22.30%,30,0.40%,30,0.40%,366,4.90%,"3,650",0.49,0.18,140,6,73,13316
Census Tract 133.17,"16,159","1,972",12.20%,"1,462",9.00%,22,0.10%,"5,697",35.30%,76,0.50%,94,0.60%,"1,019",6.30%,"5,817",0.36,0.12,140,6,73,13317
Census Tract 133.18,"7,876","1,064",13.50%,653,8.30%,16,0.20%,"2,153",27.30%,46,0.60%,30,0.40%,435,5.50%,"3,479",0.44,0.14,140,6,73,13318
Census Tract 133.19,"7,458","1,386",18.60%,546,7.30%,14,0.20%,"1,466",19.70%,24,0.30%,26,0.30%,434,5.80%,"3,562",0.48,0.19,140,6,73,13319
Census Tract 133.20,"6,556","1,166",17.80%,586,8.90%,5,0.10%,"1,260",19.20%,26,0.40%,33,0.50%,435,6.60%,"3,045",0.46,0.18,140,6,73,13320
Census Tract 133.21,"8,312","1,076",12.90%,632,7.60%,10,0.10%,"2,176",26.20%,52,0.60%,28,0.30%,503,6.10%,"3,835",0.46,0.13,140,6,73,13321
Census Tract 133.22,"4,635",788,17.00%,317,6.80%,1,0.00%,"1,139",24.60%,24,0.50%,24,0.50%,266,5.70%,"2,076",0.45,0.17,140,6,73,13322
Census Tract 133.23,"6,428",943,14.70%,373,5.80%,2,0.00%,"1,790",27.80%,21,0.30%,17,0.30%,352,5.50%,"2,930",0.46,0.15,140,6,73,13323
Census Tract 133.24,"2,644",327,12.40%,242,9.20%,11,0.40%,509,19.30%,9,0.30%,24,0.90%,128,4.80%,"1,394",0.53,0.12,140,6,73,13324
Census Tract 133.25,"5,367",794,14.80%,419,7.80%,5,0.10%,"1,293",24.10%,23,0.40%,14,0.30%,274,5.10%,"2,545",0.47,0.15,140,6,73,13325
Census Tract 133.26,"4,478",413,9.20%,169,3.80%,0,0.00%,"2,018",45.10%,14,0.30%,21,0.50%,164,3.70%,"1,679",0.38,0.09,140,6,73,13326
Census Tract 133.27,"5,401",966,17.90%,346,6.40%,2,0.00%,"1,391",25.80%,27,0.50%,21,0.40%,191,3.50%,"2,457",0.46,0.18,140,6,73,13327
Census Tract 134.01,"4,499","1,258",28.00%,61,1.40%,7,0.20%,237,5.30%,18,0.40%,20,0.40%,172,3.80%,"2,726",0.61,0.28,140,6,73,13401
Census Tract 134.09,"5,590","1,281",22.90%,330,5.90%,14,0.30%,616,11.00%,31,0.60%,27,0.50%,254,4.50%,"3,037",0.54,0.23,140,6,73,13409
Census Tract 134.11,"5,270","1,718",32.60%,119,2.30%,11,0.20%,681,12.90%,19,0.40%,36,0.70%,251,4.80%,"2,435",0.46,0.33,140,6,73,13411
Census Tract 134.12,"5,187","1,287",24.80%,170,3.30%,7,0.10%,768,14.80%,19,0.40%,36,0.70%,203,3.90%,"2,697",0.52,0.25,140,6,73,13412
Census Tract 134.14,"7,375","1,445",19.60%,290,3.90%,11,0.10%,"1,322",17.90%,35,0.50%,27,0.40%,386,5.20%,"3,859",0.52,0.2,140,6,73,13414
Census Tract 134.15,"1,640",394,24.00%,56,3.40%,0,0.00%,234,14.30%,7,0.40%,0,0.00%,65,4.00%,884,0.54,0.24,140,6,73,13415
Census Tract 134.16,"3,930","1,266",32.20%,186,4.70%,15,0.40%,401,10.20%,14,0.40%,21,0.50%,168,4.30%,"1,859",0.47,0.32,140,6,73,13416
Census Tract 134.17,"1,971",489,24.80%,83,4.20%,0,0.00%,342,17.40%,7,0.40%,3,0.20%,97,4.90%,950,0.48,0.25,140,6,73,13417
Census Tract 134.18,"6,095","1,175",19.30%,192,3.20%,13,0.20%,916,15.00%,41,0.70%,37,0.60%,235,3.90%,"3,486",0.57,0.19,140,6,73,13418
Census Tract 134.20,"3,608",557,15.40%,228,6.30%,10,0.30%,691,19.20%,8,0.20%,12,0.30%,180,5.00%,"1,922",0.53,0.15,140,6,73,13420
Census Tract 134.21,"4,720",834,17.70%,123,2.60%,9,0.20%,"1,060",22.50%,25,0.50%,21,0.40%,184,3.90%,"2,464",0.52,0.18,140,6,73,13421
Census Tract 134.22,"3,964","1,243",31.40%,109,2.70%,14,0.40%,535,13.50%,6,0.20%,27,0.70%,185,4.70%,"1,845",0.47,0.31,140,6,73,13422
Census Tract 134.23,"3,934",819,20.80%,197,5.00%,8,0.20%,977,24.80%,18,0.50%,11,0.30%,256,6.50%,"1,648",0.42,0.21,140,6,73,13423
Census Tract 134.24,"5,698","1,198",21.00%,243,4.30%,13,0.20%,"1,010",17.70%,20,0.40%,22,0.40%,288,5.10%,"2,904",0.51,0.21,140,6,73,13424
Census Tract 134.25,"2,243",425,18.90%,92,4.10%,6,0.30%,411,18.30%,4,0.20%,21,0.90%,99,4.40%,"1,185",0.53,0.19,140,6,73,13425
Census Tract 135.03,"6,168","2,339",37.90%,735,11.90%,18,0.30%,323,5.20%,45,0.70%,55,0.90%,414,6.70%,"2,239",0.36,0.38,140,6,73,13503
Census Tract 135.04,"3,847","1,629",42.30%,442,11.50%,6,0.20%,412,10.70%,29,0.80%,13,0.30%,229,6.00%,"1,087",0.28,0.42,140,6,73,13504
Census Tract 135.05,"5,060","2,177",43.00%,558,11.00%,23,0.50%,232,4.60%,28,0.60%,48,0.90%,285,5.60%,"1,709",0.34,0.43,140,6,73,13505
Census Tract 135.06,"4,422","1,574",35.60%,365,8.30%,1,0.00%,293,6.60%,21,0.50%,24,0.50%,209,4.70%,"1,935",0.44,0.36,140,6,73,13506
Census Tract 136.01,"5,253","2,808",53.50%,371,7.10%,9,0.20%,181,3.40%,24,0.50%,19,0.40%,312,5.90%,"1,529",0.29,0.53,140,6,73,13601
Census Tract 136.04,"6,256","4,404",70.40%,253,4.00%,10,0.20%,252,4.00%,19,0.30%,17,0.30%,258,4.10%,"1,043",0.17,0.7,140,6,73,13604
Census Tract 136.05,"5,804","4,185",72.10%,151,2.60%,36,0.60%,237,4.10%,12,0.20%,31,0.50%,281,4.80%,871,0.15,0.72,140,6,73,13605
Census Tract 136.07,"2,665","1,454",54.60%,306,11.50%,2,0.10%,134,5.00%,10,0.40%,28,1.10%,165,6.20%,566,0.21,0.55,140,6,73,13607
Census Tract 136.08,"4,048","2,623",64.80%,193,4.80%,11,0.30%,241,6.00%,22,0.50%,11,0.30%,223,5.50%,724,0.18,0.65,140,6,73,13608
Census Tract 137.01,"2,588","1,634",63.10%,60,2.30%,5,0.20%,110,4.30%,16,0.60%,18,0.70%,141,5.40%,604,0.23,0.63,140,6,73,13701
Census Tract 137.02,"5,530","1,491",27.00%,599,10.80%,20,0.40%,377,6.80%,37,0.70%,37,0.70%,309,5.60%,"2,660",0.48,0.27,140,6,73,13702
Census Tract 138.01,"5,178","2,162",41.80%,409,7.90%,15,0.30%,303,5.90%,42,0.80%,16,0.30%,274,5.30%,"1,957",0.38,0.42,140,6,73,13801
Census Tract 138.02,"3,311",657,19.80%,328,9.90%,6,0.20%,180,5.40%,15,0.50%,17,0.50%,139,4.20%,"1,969",0.6,0.2,140,6,73,13802
Census Tract 139.03,"3,927",994,25.30%,281,7.20%,10,0.30%,493,12.60%,33,0.80%,16,0.40%,229,5.80%,"1,871",0.48,0.25,140,6,73,13903
Census Tract 139.05,"4,084","1,363",33.40%,594,14.50%,17,0.40%,411,10.10%,39,1.00%,35,0.90%,300,7.30%,"1,325",0.32,0.33,140,6,73,13905
Census Tract 139.06,"4,965","1,327",26.70%,606,12.20%,30,0.60%,280,5.60%,22,0.40%,37,0.70%,267,5.40%,"2,396",0.48,0.27,140,6,73,13906
Census Tract 139.07,"4,159",550,13.20%,587,14.10%,22,0.50%,252,6.10%,26,0.60%,19,0.50%,139,3.30%,"2,564",0.62,0.13,140,6,73,13907
Census Tract 139.08,"3,972",591,14.90%,342,8.60%,8,0.20%,344,8.70%,10,0.30%,12,0.30%,168,4.20%,"2,497",0.63,0.15,140,6,73,13908
Census Tract 139.09,"4,521",844,18.70%,365,8.10%,5,0.10%,390,8.60%,10,0.20%,23,0.50%,198,4.40%,"2,686",0.59,0.19,140,6,73,13909
Census Tract 140.01,"4,941","1,528",30.90%,451,9.10%,14,0.30%,390,7.90%,42,0.90%,24,0.50%,229,4.60%,"2,263",0.46,0.31,140,6,73,14001
Census Tract 140.02,"4,291","1,131",26.40%,452,10.50%,12,0.30%,443,10.30%,21,0.50%,28,0.70%,217,5.10%,"1,987",0.46,0.26,140,6,73,14002
Census Tract 141.01,"3,867","1,171",30.30%,197,5.10%,6,0.20%,273,7.10%,12,0.30%,31,0.80%,194,5.00%,"1,983",0.51,0.3,140,6,73,14101
Census Tract 141.02,"3,827",454,11.90%,988,25.80%,7,0.20%,470,12.30%,60,1.60%,10,0.30%,202,5.30%,"1,636",0.43,0.12,140,6,73,14102
Census Tract 142,"7,130","1,998",28.00%,721,10.10%,21,0.30%,755,10.60%,76,1.10%,43,0.60%,348,4.90%,"3,168",0.44,0.28,140,6,73,14200
Census Tract 143,"3,957","1,012",25.60%,349,8.80%,6,0.20%,352,8.90%,24,0.60%,16,0.40%,191,4.80%,"2,007",0.51,0.26,140,6,73,14300
Census Tract 144,"4,270",810,19.00%,"1,011",23.70%,17,0.40%,182,4.30%,44,1.00%,24,0.60%,167,3.90%,"2,015",0.47,0.19,140,6,73,14400
Census Tract 145,"4,076","1,507",37.00%,393,9.60%,9,0.20%,403,9.90%,19,0.50%,9,0.20%,226,5.50%,"1,510",0.37,0.37,140,6,73,14500
Census Tract 146.01,"4,779","2,071",43.30%,419,8.80%,6,0.10%,289,6.00%,25,0.50%,26,0.50%,350,7.30%,"1,593",0.33,0.43,140,6,73,14601
Census Tract 146.02,"4,902","2,590",52.80%,403,8.20%,16,0.30%,455,9.30%,30,0.60%,30,0.60%,322,6.60%,"1,056",0.22,0.53,140,6,73,14602
Census Tract 147.01,"4,045","2,152",53.20%,189,4.70%,11,0.30%,262,6.50%,45,1.10%,21,0.50%,284,7.00%,"1,081",0.27,0.53,140,6,73,14701
Census Tract 147.02,"4,239","2,199",51.90%,196,4.60%,23,0.50%,312,7.40%,12,0.30%,21,0.50%,358,8.40%,"1,118",0.26,0.52,140,6,73,14702
Census Tract 148.03,"5,048","2,863",56.70%,296,5.90%,15,0.30%,305,6.00%,39,0.80%,29,0.60%,328,6.50%,"1,173",0.23,0.57,140,6,73,14803
Census Tract 148.04,"4,588","2,823",61.50%,218,4.80%,9,0.20%,243,5.30%,22,0.50%,21,0.50%,322,7.00%,930,0.2,0.62,140,6,73,14804
Census Tract 148.05,"5,104","2,815",55.20%,355,7.00%,15,0.30%,394,7.70%,22,0.40%,41,0.80%,290,5.70%,"1,172",0.23,0.55,140,6,73,14805
Census Tract 148.06,"2,677","1,057",39.50%,328,12.30%,9,0.30%,195,7.30%,16,0.60%,23,0.90%,162,6.10%,887,0.33,0.39,140,6,73,14806
Census Tract 149.01,"4,742","2,628",55.40%,335,7.10%,7,0.10%,206,4.30%,21,0.40%,30,0.60%,372,7.80%,"1,143",0.24,0.55,140,6,73,14901
Census Tract 149.02,"3,340","1,989",59.60%,150,4.50%,20,0.60%,123,3.70%,8,0.20%,18,0.50%,201,6.00%,831,0.25,0.6,140,6,73,14902
Census Tract 150.01,"4,294","2,405",56.00%,143,3.30%,11,0.30%,283,6.60%,13,0.30%,20,0.50%,305,7.10%,"1,114",0.26,0.56,140,6,73,15001
Census Tract 150.02,"2,468","1,253",50.80%,261,10.60%,6,0.20%,148,6.00%,19,0.80%,17,0.70%,137,5.60%,627,0.25,0.51,140,6,73,15002
Census Tract 151,"5,011","3,057",61.00%,231,4.60%,24,0.50%,247,4.90%,20,0.40%,34,0.70%,305,6.10%,"1,093",0.22,0.61,140,6,73,15100
Census Tract 152,"3,958","2,799",70.70%,79,2.00%,15,0.40%,147,3.70%,3,0.10%,26,0.70%,211,5.30%,678,0.17,0.71,140,6,73,15200
Census Tract 153.01,"3,411","1,858",54.50%,142,4.20%,7,0.20%,211,6.20%,13,0.40%,17,0.50%,158,4.60%,"1,005",0.3,0.54,140,6,73,15301
Census Tract 153.02,"4,591","2,928",63.80%,199,4.30%,3,0.10%,266,5.80%,11,0.20%,33,0.70%,228,5.00%,923,0.2,0.64,140,6,73,15302
Census Tract 154.03,"2,545","1,973",77.50%,49,1.90%,2,0.10%,71,2.80%,4,0.20%,15,0.60%,127,5.00%,304,0.12,0.78,140,6,73,15403
Census Tract 154.05,"5,980","4,283",71.60%,124,2.10%,18,0.30%,163,2.70%,13,0.20%,24,0.40%,294,4.90%,"1,061",0.18,0.72,140,6,73,15405
Census Tract 154.06,"2,520","2,013",79.90%,27,1.10%,13,0.50%,50,2.00%,4,0.20%,9,0.40%,103,4.10%,301,0.12,0.8,140,6,73,15406
Census Tract 154.07,"4,323","2,815",65.10%,196,4.50%,19,0.40%,155,3.60%,14,0.30%,30,0.70%,264,6.10%,830,0.19,0.65,140,6,73,15407
Census Tract 154.08,"3,817","2,616",68.50%,162,4.20%,7,0.20%,125,3.30%,8,0.20%,24,0.60%,163,4.30%,712,0.19,0.69,140,6,73,15408
Census Tract 155.01,"5,346","3,620",67.70%,55,1.00%,34,0.60%,97,1.80%,11,0.20%,15,0.30%,264,4.90%,"1,250",0.23,0.68,140,6,73,15501
Census Tract 155.02,"2,950","1,987",67.40%,37,1.30%,114,3.90%,49,1.70%,4,0.10%,7,0.20%,189,6.40%,563,0.19,0.67,140,6,73,15502
Census Tract 156.01,"6,340","3,828",60.40%,264,4.20%,32,0.50%,182,2.90%,14,0.20%,18,0.30%,312,4.90%,"1,690",0.27,0.6,140,6,73,15601
Census Tract 156.02,"2,472","1,781",72.00%,31,1.30%,6,0.20%,65,2.60%,16,0.60%,15,0.60%,127,5.10%,431,0.17,0.72,140,6,73,15602
Census Tract 157.01,"6,503","2,663",41.00%,680,10.50%,27,0.40%,382,5.90%,32,0.50%,40,0.60%,344,5.30%,"2,335",0.36,0.41,140,6,73,15701
Census Tract 157.04,"4,559","2,332",51.20%,258,5.70%,15,0.30%,207,4.50%,16,0.40%,32,0.70%,211,4.60%,"1,488",0.33,0.51,140,6,73,15704
Census Tract 157.05,"4,515","2,499",55.30%,344,7.60%,11,0.20%,200,4.40%,27,0.60%,9,0.20%,189,4.20%,"1,236",0.27,0.55,140,6,73,15705
Census Tract 157.06,"2,473","1,188",48.00%,152,6.10%,7,0.30%,114,4.60%,4,0.20%,15,0.60%,137,5.50%,856,0.35,0.48,140,6,73,15706
Census Tract 158.01,"4,010","1,675",41.80%,446,11.10%,7,0.20%,238,5.90%,20,0.50%,40,1.00%,245,6.10%,"1,339",0.33,0.42,140,6,73,15801
Census Tract 158.02,"5,027","2,664",53.00%,296,5.90%,10,0.20%,171,3.40%,10,0.20%,30,0.60%,264,5.30%,"1,582",0.32,0.53,140,6,73,15802
Census Tract 159.01,"3,671",976,26.60%,359,9.80%,5,0.10%,211,5.70%,24,0.70%,23,0.60%,204,5.60%,"1,869",0.51,0.27,140,6,73,15901
Census Tract 159.02,"5,340","2,431",45.50%,336,6.30%,27,0.50%,248,4.60%,24,0.40%,50,0.90%,313,5.90%,"1,911",0.36,0.46,140,6,73,15902
Census Tract 160,"2,628","1,372",52.20%,150,5.70%,11,0.40%,82,3.10%,10,0.40%,6,0.20%,147,5.60%,850,0.32,0.52,140,6,73,16000
Census Tract 161,"5,991","3,537",59.00%,268,4.50%,29,0.50%,276,4.60%,23,0.40%,48,0.80%,379,6.30%,"1,431",0.24,0.59,140,6,73,16100
Census Tract 162.01,"6,079","4,196",69.00%,102,1.70%,13,0.20%,264,4.30%,38,0.60%,21,0.30%,378,6.20%,"1,067",0.18,0.69,140,6,73,16201
Census Tract 162.02,"3,793","1,555",41.00%,476,12.50%,17,0.40%,200,5.30%,25,0.70%,31,0.80%,258,6.80%,"1,231",0.33,0.41,140,6,73,16202
Census Tract 163.01,"5,533","2,485",44.90%,454,8.20%,21,0.40%,282,5.10%,23,0.40%,29,0.50%,350,6.30%,"1,889",0.34,0.45,140,6,73,16301
Census Tract 163.02,"5,750","2,586",45.00%,508,8.80%,10,0.20%,298,5.20%,12,0.20%,25,0.40%,333,5.80%,"1,978",0.34,0.45,140,6,73,16302
Census Tract 164.01,"5,311","3,197",60.20%,172,3.20%,12,0.20%,234,4.40%,19,0.40%,30,0.60%,265,5.00%,"1,382",0.26,0.6,140,6,73,16401
Census Tract 164.03,"4,778","3,042",63.70%,155,3.20%,17,0.40%,187,3.90%,11,0.20%,14,0.30%,198,4.10%,"1,154",0.24,0.64,140,6,73,16403
Census Tract 164.04,"3,190","1,350",42.30%,178,5.60%,9,0.30%,185,5.80%,9,0.30%,14,0.40%,165,5.20%,"1,280",0.4,0.42,140,6,73,16404
Census Tract 165.02,"7,271","3,849",52.90%,410,5.60%,25,0.30%,247,3.40%,34,0.50%,50,0.70%,445,6.10%,"2,211",0.3,0.53,140,6,73,16502
Census Tract 165.03,"3,056","1,720",56.30%,154,5.00%,10,0.30%,82,2.70%,18,0.60%,12,0.40%,205,6.70%,855,0.28,0.56,140,6,73,16503
Census Tract 165.04,"7,171","2,583",36.00%,710,9.90%,19,0.30%,283,3.90%,47,0.70%,51,0.70%,354,4.90%,"3,124",0.44,0.36,140,6,73,16504
Census Tract 166.06,"3,576","2,303",64.40%,31,0.90%,11,0.30%,230,6.40%,35,1.00%,20,0.60%,254,7.10%,692,0.19,0.64,140,6,73,16606
Census Tract 166.07,"7,111","4,687",65.90%,121,1.70%,30,0.40%,386,5.40%,24,0.30%,38,0.50%,430,6.00%,"1,395",0.2,0.66,140,6,73,16607
Census Tract 166.08,"2,475","1,802",72.80%,14,0.60%,9,0.40%,70,2.80%,6,0.20%,6,0.20%,188,7.60%,380,0.15,0.73,140,6,73,16608
Census Tract 166.09,"5,470","3,849",70.40%,54,1.00%,29,0.50%,181,3.30%,26,0.50%,32,0.60%,396,7.20%,903,0.17,0.7,140,6,73,16609
Census Tract 166.10,"4,334","2,769",63.90%,88,2.00%,16,0.40%,181,4.20%,12,0.30%,41,0.90%,306,7.10%,921,0.21,0.64,140,6,73,16610
Census Tract 166.13,"2,006","1,302",64.90%,28,1.40%,1,0.00%,103,5.10%,2,0.10%,22,1.10%,142,7.10%,406,0.2,0.65,140,6,73,16613
Census Tract 166.14,"4,115","2,671",64.90%,45,1.10%,5,0.10%,227,5.50%,19,0.50%,27,0.70%,300,7.30%,821,0.2,0.65,140,6,73,16614
Census Tract 166.15,"4,278","2,277",53.20%,216,5.00%,21,0.50%,288,6.70%,10,0.20%,37,0.90%,216,5.00%,"1,213",0.28,0.53,140,6,73,16615
Census Tract 166.16,"4,452","2,699",60.60%,137,3.10%,18,0.40%,236,5.30%,20,0.40%,58,1.30%,280,6.30%,"1,004",0.23,0.61,140,6,73,16616
Census Tract 166.17,"3,550","2,013",56.70%,88,2.50%,9,0.30%,221,6.20%,36,1.00%,24,0.70%,209,5.90%,950,0.27,0.57,140,6,73,16617
Census Tract 166.18,"3,947","2,531",64.10%,122,3.10%,30,0.80%,180,4.60%,11,0.30%,27,0.70%,297,7.50%,749,0.19,0.64,140,6,73,16618
Census Tract 166.19,"4,576","2,739",59.90%,127,2.80%,11,0.20%,373,8.20%,21,0.50%,28,0.60%,354,7.70%,923,0.2,0.6,140,6,73,16619
Census Tract 166.20,"2,664","1,731",65.00%,31,1.20%,8,0.30%,91,3.40%,16,0.60%,16,0.60%,200,7.50%,571,0.21,0.65,140,6,73,16620
Census Tract 166.21,"4,386","2,891",65.90%,24,0.50%,10,0.20%,416,9.50%,26,0.60%,35,0.80%,303,6.90%,681,0.16,0.66,140,6,73,16621
Census Tract 167.03,"2,750","1,625",59.10%,50,1.80%,16,0.60%,117,4.30%,12,0.40%,6,0.20%,160,5.80%,764,0.28,0.59,140,6,73,16703
Census Tract 167.04,"7,174","4,506",62.80%,175,2.40%,28,0.40%,376,5.20%,18,0.30%,37,0.50%,471,6.60%,"1,563",0.22,0.63,140,6,73,16704
Census Tract 167.05,"4,629","2,664",57.60%,184,4.00%,31,0.70%,116,2.50%,27,0.60%,26,0.60%,304,6.60%,"1,277",0.28,0.58,140,6,73,16705
Census Tract 167.06,"2,966","2,016",68.00%,34,1.10%,31,1.00%,73,2.50%,8,0.30%,23,0.80%,169,5.70%,612,0.21,0.68,140,6,73,16706
Census Tract 168.04,"7,727","4,173",54.00%,282,3.60%,46,0.60%,198,2.60%,37,0.50%,38,0.50%,547,7.10%,"2,406",0.31,0.54,140,6,73,16804
Census Tract 168.06,"4,462","2,512",56.30%,89,2.00%,17,0.40%,113,2.50%,19,0.40%,21,0.50%,228,5.10%,"1,463",0.33,0.56,140,6,73,16806
Census Tract 168.07,"7,707","4,858",63.00%,187,2.40%,31,0.40%,216,2.80%,11,0.10%,65,0.80%,457,5.90%,"1,882",0.24,0.63,140,6,73,16807
Census Tract 168.09,"6,056","3,623",59.80%,148,2.40%,20,0.30%,240,4.00%,14,0.20%,26,0.40%,382,6.30%,"1,603",0.27,0.6,140,6,73,16809
Census Tract 168.10,"2,733","1,919",70.20%,17,0.60%,16,0.60%,73,2.70%,1,0.00%,7,0.30%,189,6.90%,511,0.19,0.7,140,6,73,16810
Census Tract 168.11,"4,677","3,161",67.60%,35,0.70%,28,0.60%,126,2.70%,3,0.10%,19,0.40%,237,5.10%,"1,068",0.23,0.68,140,6,73,16811
Census Tract 168.12,"3,463","2,609",75.30%,25,0.70%,17,0.50%,44,1.30%,14,0.40%,10,0.30%,130,3.80%,614,0.18,0.75,140,6,73,16812
Census Tract 168.13,"3,441","2,620",76.10%,32,0.90%,10,0.30%,62,1.80%,10,0.30%,20,0.60%,165,4.80%,522,0.15,0.76,140,6,73,16813
