State / County / Place,Total Population,"White alone, Not Hispanic",White Alone Percent of Total,"Black or African American alone, Not Hispanic",Black Alone Percent of Total,"American Indian and Alaska Native alone, Not Hispanic",AIAN Percent of Total,"Asian alone, Not Hispanic",Asian Percent of Total,"Native Hawaiian and Other Pacific Islander alone, Not Hispanic",NHOPI Percent of Total,"Some other race alone, Not Hispanic",Other Percent of Total,"Two or more races, Not Hispanic",Two Plus Percent of Total,Hispanic/ Latino (2),Hispanic Percent of Total,Summary level,State,County,Census Tract,,,,
Census Tract 193.04,"3,548","1,766",49.8%,155,4.4%,13,0.4%,245,6.9%,38,1.1%,22,0.6%,229,6.5%,"1,080",30.4%,140,06,073,019304,,,,
Census Tract 193.05,"3,983","2,089",52.4%,156,3.9%,10,0.3%,273,6.9%,32,0.8%,22,0.6%,233,5.8%,"1,168",29.3%,140,06,073,019305,,,,
Census Tract 194.03,"6,489","2,263",34.9%,205,3.2%,31,0.5%,461,7.1%,53,0.8%,39,0.6%,355,5.5%,"3,082",47.5%,140,06,073,019403,,,,
Census Tract 194.04,"3,697",514,13.9%,30,0.8%,4,0.1%,92,2.5%,31,0.8%,2,0.1%,91,2.5%,"2,933",79.3%,140,06,073,019404,,,,
Census Tract 194.05,"3,813","1,125",29.5%,127,3.3%,16,0.4%,196,5.1%,64,1.7%,19,0.5%,183,4.8%,"2,083",54.6%,140,06,073,019405,,,,
Census Tract 194.06,"4,959","1,946",39.2%,105,2.1%,14,0.3%,266,5.4%,25,0.5%,27,0.5%,272,5.5%,"2,304",46.5%,140,06,073,019406,,,,
Census Tract 195.01,"3,831",284,7.4%,63,1.6%,6,0.2%,87,2.3%,17,0.4%,20,0.5%,59,1.5%,"3,295",86.0%,140,06,073,019501,,,,
Census Tract 195.02,"5,492",622,11.3%,68,1.2%,14,0.3%,74,1.3%,12,0.2%,25,0.5%,70,1.3%,"4,607",83.9%,140,06,073,019502,,,,
Census Tract 195.03,"5,032","1,242",24.7%,119,2.4%,8,0.2%,181,3.6%,25,0.5%,31,0.6%,187,3.7%,"3,239",64.4%,140,06,073,019503,,,,
Census Tract 196.01,"6,622","2,938",44.4%,138,2.1%,20,0.3%,215,3.2%,30,0.5%,61,0.9%,356,5.4%,"2,864",43.2%,140,06,073,019601,,,,
Census Tract 196.02,"5,438","2,504",46.0%,127,2.3%,24,0.4%,160,2.9%,23,0.4%,40,0.7%,250,4.6%,"2,310",42.5%,140,06,073,019602,,,,
Census Tract 197.01,"7,022","3,224",45.9%,321,4.6%,14,0.2%,492,7.0%,49,0.7%,29,0.4%,368,5.2%,"2,525",36.0%,140,06,073,019701,,,,
Census Tract 197.02,"5,069","2,941",58.0%,74,1.5%,13,0.3%,168,3.3%,15,0.3%,27,0.5%,281,5.5%,"1,550",30.6%,140,06,073,019702,,,,
Census Tract 198.03,"5,937","3,675",61.9%,94,1.6%,13,0.2%,476,8.0%,15,0.3%,41,0.7%,397,6.7%,"1,226",20.7%,140,06,073,019803,,,,
Census Tract 198.04,"4,567","3,336",73.0%,17,0.4%,10,0.2%,194,4.2%,2,0.0%,11,0.2%,284,6.2%,713,15.6%,140,06,073,019804,,,,
Census Tract 198.05,"4,138","1,899",45.9%,99,2.4%,12,0.3%,178,4.3%,10,0.2%,22,0.5%,171,4.1%,"1,747",42.2%,140,06,073,019805,,,,
Census Tract 198.08,"4,853","3,720",76.7%,65,1.3%,3,0.1%,253,5.2%,7,0.1%,22,0.5%,181,3.7%,602,12.4%,140,06,073,019808,,,,
Census Tract 198.09,"4,096","2,964",72.4%,43,1.0%,3,0.1%,200,4.9%,4,0.1%,26,0.6%,221,5.4%,635,15.5%,140,06,073,019809,,,,
Census Tract 198.10,"6,412","3,839",59.9%,117,1.8%,17,0.3%,676,10.5%,16,0.2%,33,0.5%,465,7.3%,"1,249",19.5%,140,06,073,019810,,,,
Census Tract 198.11,"7,330","4,332",59.1%,106,1.4%,25,0.3%,978,13.3%,19,0.3%,41,0.6%,496,6.8%,"1,333",18.2%,140,06,073,019811,,,,
Census Tract 199.02,"4,211","1,591",37.8%,83,2.0%,23,0.5%,179,4.3%,24,0.6%,19,0.5%,178,4.2%,"2,114",50.2%,140,06,073,019902,,,,
Census Tract 199.03,"4,718","2,399",50.8%,98,2.1%,19,0.4%,178,3.8%,14,0.3%,35,0.7%,208,4.4%,"1,767",37.5%,140,06,073,019903,,,,
Census Tract 199.04,"6,865","3,880",56.5%,208,3.0%,19,0.3%,548,8.0%,27,0.4%,27,0.4%,416,6.1%,"1,740",25.3%,140,06,073,019904,,,,
Census Tract 199.05,"4,326","2,538",58.7%,101,2.3%,9,0.2%,369,8.5%,20,0.5%,15,0.3%,253,5.8%,"1,021",23.6%,140,06,073,019905,,,,
Census Tract 200.15,"5,171","3,759",72.7%,41,0.8%,14,0.3%,392,7.6%,18,0.3%,13,0.3%,358,6.9%,576,11.1%,140,06,073,020015,,,,
Census Tract 200.17,"3,187","1,222",38.3%,102,3.2%,21,0.7%,191,6.0%,29,0.9%,16,0.5%,106,3.3%,"1,500",47.1%,140,06,073,020017,,,,
Census Tract 200.19,"6,728","3,969",59.0%,70,1.0%,11,0.2%,464,6.9%,6,0.1%,29,0.4%,237,3.5%,"1,942",28.9%,140,06,073,020019,,,,
Census Tract 200.21,"6,034","1,255",20.8%,100,1.7%,13,0.2%,808,13.4%,26,0.4%,41,0.7%,236,3.9%,"3,555",58.9%,140,06,073,020021,,,,
Census Tract 200.23,"4,734","2,051",43.3%,89,1.9%,19,0.4%,397,8.4%,12,0.3%,32,0.7%,275,5.8%,"1,859",39.3%,140,06,073,020023,,,,
Census Tract 200.24,"4,129","2,072",50.2%,62,1.5%,23,0.6%,241,5.8%,17,0.4%,14,0.3%,212,5.1%,"1,488",36.0%,140,06,073,020024,,,,
Census Tract 200.25,"5,021","2,212",44.1%,154,3.1%,17,0.3%,466,9.3%,25,0.5%,39,0.8%,325,6.5%,"1,783",35.5%,140,06,073,020025,,,,
Census Tract 200.26,"4,345","2,903",66.8%,40,0.9%,5,0.1%,341,7.8%,8,0.2%,32,0.7%,236,5.4%,780,18.0%,140,06,073,020026,,,,
Census Tract 200.28,"3,690",295,8.0%,52,1.4%,4,0.1%,156,4.2%,18,0.5%,16,0.4%,66,1.8%,"3,083",83.6%,140,06,073,020028,,,,
Census Tract 200.29,"6,854","1,965",28.7%,224,3.3%,15,0.2%,435,6.3%,20,0.3%,40,0.6%,218,3.2%,"3,937",57.4%,140,06,073,020029,,,,
Census Tract 200.30,"7,193","4,671",64.9%,110,1.5%,13,0.2%,776,10.8%,4,0.1%,50,0.7%,413,5.7%,"1,156",16.1%,140,06,073,020030,,,,
Census Tract 200.31,"6,659","4,326",65.0%,96,1.4%,9,0.1%,745,11.2%,6,0.1%,43,0.6%,467,7.0%,967,14.5%,140,06,073,020031,,,,
Census Tract 200.32,"3,649","2,674",73.3%,42,1.2%,1,0.0%,343,9.4%,1,0.0%,11,0.3%,203,5.6%,374,10.2%,140,06,073,020032,,,,
Census Tract 200.33,"3,720","2,616",70.3%,33,0.9%,8,0.2%,307,8.3%,10,0.3%,14,0.4%,245,6.6%,487,13.1%,140,06,073,020033,,,,
Census Tract 200.34,"2,737","2,071",75.7%,20,0.7%,3,0.1%,143,5.2%,5,0.2%,23,0.8%,176,6.4%,296,10.8%,140,06,073,020034,,,,
Census Tract 200.35,"6,858","5,308",77.4%,33,0.5%,13,0.2%,425,6.2%,6,0.1%,26,0.4%,407,5.9%,640,9.3%,140,06,073,020035,,,,
Census Tract 200.36,"3,613",421,11.7%,35,1.0%,1,0.0%,124,3.4%,9,0.2%,3,0.1%,41,1.1%,"2,979",82.5%,140,06,073,020036,,,,
Census Tract 200.37,"4,331","1,165",26.9%,40,0.9%,0,0.0%,294,6.8%,6,0.1%,26,0.6%,106,2.4%,"2,694",62.2%,140,06,073,020037,,,,
Census Tract 200.38,"5,773","2,500",43.3%,121,2.1%,4,0.1%,"1,132",19.6%,24,0.4%,47,0.8%,340,5.9%,"1,605",27.8%,140,06,073,020038,,,,
Census Tract 200.39,"2,226",933,41.9%,35,1.6%,2,0.1%,490,22.0%,9,0.4%,12,0.5%,160,7.2%,585,26.3%,140,06,073,020039,,,,
Census Tract 200.40,"4,299","2,772",64.5%,63,1.5%,12,0.3%,405,9.4%,11,0.3%,17,0.4%,253,5.9%,766,17.8%,140,06,073,020040,,,,
Census Tract 200.41,"3,028","1,059",35.0%,86,2.8%,2,0.1%,227,7.5%,14,0.5%,16,0.5%,114,3.8%,"1,510",49.9%,140,06,073,020041,,,,
Census Tract 200.42,"3,794","2,634",69.4%,55,1.4%,9,0.2%,296,7.8%,2,0.1%,14,0.4%,183,4.8%,601,15.8%,140,06,073,020042,,,,
Census Tract 200.43,"6,475","4,227",65.3%,80,1.2%,13,0.2%,771,11.9%,12,0.2%,26,0.4%,480,7.4%,866,13.4%,140,06,073,020043,,,,
Census Tract 200.44,"8,509","4,989",58.6%,133,1.6%,6,0.1%,"1,358",16.0%,14,0.2%,59,0.7%,523,6.1%,"1,427",16.8%,140,06,073,020044,,,,
Census Tract 201.05,"4,122","1,942",47.1%,112,2.7%,10,0.2%,319,7.7%,12,0.3%,18,0.4%,166,4.0%,"1,543",37.4%,140,06,073,020105,,,,
Census Tract 201.06,"3,852","1,422",36.9%,36,0.9%,17,0.4%,416,10.8%,6,0.2%,11,0.3%,155,4.0%,"1,789",46.4%,140,06,073,020106,,,,
Census Tract 201.07,"4,248","1,576",37.1%,67,1.6%,16,0.4%,499,11.7%,17,0.4%,29,0.7%,234,5.5%,"1,810",42.6%,140,06,073,020107,,,,
Census Tract 201.08,"5,901",883,15.0%,125,2.1%,10,0.2%,409,6.9%,17,0.3%,20,0.3%,157,2.7%,"4,280",72.5%,140,06,073,020108,,,,
Census Tract 201.09,"5,178","1,245",24.0%,54,1.0%,11,0.2%,476,9.2%,7,0.1%,21,0.4%,145,2.8%,"3,219",62.2%,140,06,073,020109,,,,
Census Tract 201.10,"7,812","3,755",48.1%,203,2.6%,32,0.4%,"1,279",16.4%,28,0.4%,37,0.5%,439,5.6%,"2,039",26.1%,140,06,073,020110,,,,
Census Tract 201.11,"4,128","2,377",57.6%,58,1.4%,12,0.3%,402,9.7%,6,0.1%,18,0.4%,192,4.7%,"1,063",25.8%,140,06,073,020111,,,,
Census Tract 202.02,"6,955",802,11.5%,146,2.1%,14,0.2%,224,3.2%,10,0.1%,14,0.2%,122,1.8%,"5,623",80.8%,140,06,073,020202,,,,
Census Tract 202.06,"5,009",666,13.3%,71,1.4%,11,0.2%,178,3.6%,10,0.2%,13,0.3%,94,1.9%,"3,966",79.2%,140,06,073,020206,,,,
Census Tract 202.07,"5,183",591,11.4%,105,2.0%,2,0.0%,185,3.6%,5,0.1%,24,0.5%,73,1.4%,"4,198",81.0%,140,06,073,020207,,,,
Census Tract 202.08,"2,615",614,23.5%,37,1.4%,10,0.4%,172,6.6%,0,0.0%,6,0.2%,73,2.8%,"1,703",65.1%,140,06,073,020208,,,,
Census Tract 202.09,"4,882","1,254",25.7%,131,2.7%,20,0.4%,283,5.8%,14,0.3%,10,0.2%,136,2.8%,"3,034",62.1%,140,06,073,020209,,,,
Census Tract 202.10,"5,105","1,352",26.5%,137,2.7%,17,0.3%,467,9.1%,7,0.1%,12,0.2%,208,4.1%,"2,905",56.9%,140,06,073,020210,,,,
Census Tract 202.11,"6,918","1,565",22.6%,183,2.6%,36,0.5%,367,5.3%,22,0.3%,47,0.7%,204,2.9%,"4,494",65.0%,140,06,073,020211,,,,
Census Tract 202.13,"3,674",390,10.6%,63,1.7%,2,0.1%,110,3.0%,4,0.1%,20,0.5%,46,1.3%,"3,039",82.7%,140,06,073,020213,,,,
Census Tract 202.14,"5,808","1,145",19.7%,200,3.4%,31,0.5%,231,4.0%,10,0.2%,25,0.4%,139,2.4%,"4,027",69.3%,140,06,073,020214,,,,
Census Tract 203.04,"6,641","4,036",60.8%,109,1.6%,13,0.2%,620,9.3%,16,0.2%,40,0.6%,355,5.3%,"1,452",21.9%,140,06,073,020304,,,,
Census Tract 203.05,"6,124","2,926",47.8%,177,2.9%,20,0.3%,621,10.1%,7,0.1%,18,0.3%,296,4.8%,"2,059",33.6%,140,06,073,020305,,,,
Census Tract 203.08,"5,981","2,144",35.8%,209,3.5%,25,0.4%,417,7.0%,25,0.4%,28,0.5%,236,3.9%,"2,897",48.4%,140,06,073,020308,,,,
Census Tract 203.09,"4,093","1,347",32.9%,98,2.4%,5,0.1%,535,13.1%,19,0.5%,32,0.8%,203,5.0%,"1,854",45.3%,140,06,073,020309,,,,
Census Tract 203.10,"8,703","3,967",45.6%,398,4.6%,22,0.3%,"1,289",14.8%,13,0.1%,67,0.8%,609,7.0%,"2,338",26.9%,140,06,073,020310,,,,
Census Tract 203.11,"3,600","2,265",62.9%,83,2.3%,10,0.3%,488,13.6%,6,0.2%,18,0.5%,199,5.5%,531,14.8%,140,06,073,020311,,,,
Census Tract 203.12,"4,487","2,402",53.5%,94,2.1%,12,0.3%,409,9.1%,4,0.1%,24,0.5%,275,6.1%,"1,267",28.2%,140,06,073,020312,,,,
Census Tract 203.13,"3,012","1,324",44.0%,88,2.9%,22,0.7%,244,8.1%,9,0.3%,28,0.9%,164,5.4%,"1,133",37.6%,140,06,073,020313,,,,
Census Tract 204.01,"2,373","1,848",77.9%,22,0.9%,5,0.2%,109,4.6%,0,0.0%,19,0.8%,100,4.2%,270,11.4%,140,06,073,020401,,,,
Census Tract 204.03,"4,220","1,854",43.9%,57,1.4%,15,0.4%,407,9.6%,3,0.1%,11,0.3%,207,4.9%,"1,666",39.5%,140,06,073,020403,,,,
Census Tract 204.04,"5,426","2,696",49.7%,155,2.9%,21,0.4%,605,11.2%,18,0.3%,34,0.6%,289,5.3%,"1,608",29.6%,140,06,073,020404,,,,
Census Tract 204.05,"3,685","2,633",71.5%,27,0.7%,9,0.2%,319,8.7%,6,0.2%,12,0.3%,163,4.4%,516,14.0%,140,06,073,020405,,,,
Census Tract 205,"4,952","1,059",21.4%,47,0.9%,8,0.2%,203,4.1%,10,0.2%,14,0.3%,109,2.2%,"3,502",70.7%,140,06,073,020500,,,,
Census Tract 206.01,"5,715","1,100",19.2%,117,2.0%,14,0.2%,174,3.0%,12,0.2%,28,0.5%,144,2.5%,"4,126",72.2%,140,06,073,020601,,,,
Census Tract 206.02,"5,970","2,302",38.6%,125,2.1%,33,0.6%,218,3.7%,7,0.1%,16,0.3%,222,3.7%,"3,047",51.0%,140,06,073,020602,,,,
Census Tract 207.05,"4,861","2,467",50.8%,59,1.2%,19,0.4%,334,6.9%,8,0.2%,26,0.5%,194,4.0%,"1,754",36.1%,140,06,073,020705,,,,
Census Tract 207.06,"6,656","4,396",66.0%,92,1.4%,21,0.3%,451,6.8%,5,0.1%,42,0.6%,414,6.2%,"1,235",18.6%,140,06,073,020706,,,,
Census Tract 207.07,"5,077","1,417",27.9%,157,3.1%,20,0.4%,294,5.8%,8,0.2%,21,0.4%,242,4.8%,"2,918",57.5%,140,06,073,020707,,,,
Census Tract 207.08,"3,728","2,056",55.2%,72,1.9%,9,0.2%,421,11.3%,10,0.3%,33,0.9%,230,6.2%,897,24.1%,140,06,073,020708,,,,
Census Tract 207.10,"1,798","1,212",67.4%,15,0.8%,11,0.6%,196,10.9%,9,0.5%,4,0.2%,56,3.1%,295,16.4%,140,06,073,020710,,,,
Census Tract 207.11,"3,593","2,203",61.3%,42,1.2%,17,0.5%,327,9.1%,9,0.3%,10,0.3%,196,5.5%,789,22.0%,140,06,073,020711,,,,
Census Tract 207.12,"4,856","2,301",47.4%,60,1.2%,16,0.3%,423,8.7%,9,0.2%,28,0.6%,261,5.4%,"1,758",36.2%,140,06,073,020712,,,,
Census Tract 208.01,"5,295","3,855",72.8%,49,0.9%,13,0.2%,134,2.5%,2,0.0%,23,0.4%,311,5.9%,908,17.1%,140,06,073,020801,,,,
Census Tract 208.05,"3,674","2,087",56.8%,29,0.8%,54,1.5%,36,1.0%,18,0.5%,15,0.4%,179,4.9%,"1,256",34.2%,140,06,073,020805,,,,
Census Tract 208.06,"6,158","3,148",51.1%,74,1.2%,39,0.6%,109,1.8%,25,0.4%,33,0.5%,278,4.5%,"2,452",39.8%,140,06,073,020806,,,,
Census Tract 208.07,"3,070","2,195",71.5%,22,0.7%,27,0.9%,43,1.4%,1,0.0%,28,0.9%,132,4.3%,622,20.3%,140,06,073,020807,,,,
Census Tract 208.10,"5,349","3,860",72.2%,55,1.0%,15,0.3%,110,2.1%,15,0.3%,32,0.6%,347,6.5%,915,17.1%,140,06,073,020810,,,,
Census Tract 208.11,"5,923","4,337",73.2%,62,1.0%,42,0.7%,134,2.3%,10,0.2%,59,1.0%,313,5.3%,966,16.3%,140,06,073,020811,,,,
Census Tract 208.12,"2,003",969,48.4%,5,0.2%,16,0.8%,19,0.9%,4,0.2%,9,0.4%,73,3.6%,908,45.3%,140,06,073,020812,,,,
Census Tract 208.13,"4,983","2,934",58.9%,17,0.3%,37,0.7%,61,1.2%,6,0.1%,21,0.4%,247,5.0%,"1,660",33.3%,140,06,073,020813,,,,
Census Tract 209.02,"2,306","1,728",74.9%,33,1.4%,8,0.3%,31,1.3%,1,0.0%,16,0.7%,134,5.8%,355,15.4%,140,06,073,020902,,,,
Census Tract 209.03,"3,030","1,892",62.4%,39,1.3%,347,11.5%,49,1.6%,4,0.1%,9,0.3%,109,3.6%,581,19.2%,140,06,073,020903,,,,
Census Tract 209.04,"3,266","2,396",73.4%,20,0.6%,25,0.8%,47,1.4%,5,0.2%,36,1.1%,185,5.7%,552,16.9%,140,06,073,020904,,,,
Census Tract 210.01,"2,085","1,259",60.4%,30,1.4%,26,1.2%,15,0.7%,1,0.0%,15,0.7%,85,4.1%,654,31.4%,140,06,073,021001,,,,
Census Tract 210.02,"1,946","1,074",55.2%,6,0.3%,13,0.7%,14,0.7%,0,0.0%,9,0.5%,47,2.4%,783,40.2%,140,06,073,021002,,,,
Census Tract 211.01,"5,310","2,339",44.0%,90,1.7%,172,3.2%,65,1.2%,8,0.2%,27,0.5%,226,4.3%,"2,383",44.9%,140,06,073,021101,,,,
Census Tract 211.02,"2,613","1,363",52.2%,82,3.1%,273,10.4%,30,1.1%,9,0.3%,19,0.7%,139,5.3%,698,26.7%,140,06,073,021102,,,,
Census Tract 212.02,"3,073","2,000",65.1%,15,0.5%,326,10.6%,38,1.2%,3,0.1%,13,0.4%,172,5.6%,506,16.5%,140,06,073,021202,,,,
Census Tract 212.04,"5,491","4,275",77.9%,65,1.2%,49,0.9%,114,2.1%,2,0.0%,36,0.7%,264,4.8%,686,12.5%,140,06,073,021204,,,,
Census Tract 212.05,"7,029","4,512",64.2%,144,2.0%,50,0.7%,157,2.2%,35,0.5%,53,0.8%,453,6.4%,"1,625",23.1%,140,06,073,021205,,,,
Census Tract 212.06,"3,039","2,224",73.2%,19,0.6%,41,1.3%,46,1.5%,12,0.4%,24,0.8%,153,5.0%,520,17.1%,140,06,073,021206,,,,
Census Tract 213.02,"7,237","3,326",46.0%,541,7.5%,31,0.4%,130,1.8%,12,0.2%,53,0.7%,216,3.0%,"2,928",40.5%,140,06,073,021302,,,,
Census Tract 213.04,"2,709","1,671",61.7%,43,1.6%,12,0.4%,50,1.8%,4,0.1%,14,0.5%,127,4.7%,788,29.1%,140,06,073,021304,,,,
Census Tract 213.05,"4,389","3,237",73.8%,78,1.8%,16,0.4%,126,2.9%,5,0.1%,9,0.2%,179,4.1%,739,16.8%,140,06,073,021305,,,,
Census Tract 213.06,"5,762","1,642",28.5%,159,2.8%,18,0.3%,"1,039",18.0%,24,0.4%,47,0.8%,299,5.2%,"2,534",44.0%,140,06,073,021306,,,,
Census Tract 214.01,"4,383","2,679",61.1%,303,6.9%,25,0.6%,227,5.2%,22,0.5%,32,0.7%,266,6.1%,829,18.9%,140,06,073,021401,,,,
Census Tract 214.02,"2,793","1,895",67.8%,44,1.6%,16,0.6%,125,4.5%,9,0.3%,16,0.6%,193,6.9%,495,17.7%,140,06,073,021402,,,,
Census Tract 215.01,"3,882","2,254",58.1%,5,0.1%,4,0.1%,"1,066",27.5%,3,0.1%,7,0.2%,246,6.3%,297,7.7%,140,06,073,021501,,,,
Census Tract 215.02,"9,851","4,481",45.5%,185,1.9%,10,0.1%,"3,309",33.6%,9,0.1%,68,0.7%,625,6.3%,"1,164",11.8%,140,06,073,021502,,,,
Census Tract 216,"3,584","2,152",60.0%,192,5.4%,19,0.5%,103,2.9%,5,0.1%,27,0.8%,209,5.8%,877,24.5%,140,06,073,021600,,,,
Census Tract 218,"1,980","1,584",80.0%,13,0.7%,0,0.0%,46,2.3%,0,0.0%,5,0.3%,99,5.0%,233,11.8%,140,06,073,021800,,,,
Census Tract 219,"2,625",347,13.2%,116,4.4%,15,0.6%,141,5.4%,17,0.6%,14,0.5%,50,1.9%,"1,925",73.3%,140,06,073,021900,,,,
Census Tract 220,"4,526",260,5.7%,164,3.6%,15,0.3%,"1,402",31.0%,49,1.1%,16,0.4%,109,2.4%,"2,511",55.5%,140,06,073,022000,,,,
Census Tract 221.01,"2,631","1,867",71.0%,58,2.2%,5,0.2%,218,8.3%,4,0.2%,6,0.2%,167,6.3%,306,11.6%,140,06,073,022101,,,,
Census Tract 221.02,"7,024","3,982",56.7%,113,1.6%,16,0.2%,782,11.1%,12,0.2%,46,0.7%,360,5.1%,"1,713",24.4%,140,06,073,022102,,,,
Census Tract 9901,0,0,,0,,0,,0,,0,,0,,0,,0,,140,06,073,990100,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco County,"873,965","341,306",39.1%,"45,071",5.2%,"1,570",0.2%,"294,220",33.7%,"3,244",0.4%,"6,347",0.7%,"45,446",5.2%,"136,761",15.6%,050,06,075,,,,,
Census Tract 101.01,"2,026",963,47.5%,69,3.4%,3,0.1%,666,32.9%,5,0.2%,10,0.5%,113,5.6%,197,9.7%,140,06,075,010101,,,,
Census Tract 101.02,"2,000",724,36.2%,173,8.7%,1,0.1%,766,38.3%,26,1.3%,13,0.7%,97,4.9%,200,10.0%,140,06,075,010102,,,,
Census Tract 102.01,"2,468","1,848",74.9%,21,0.9%,0,0.0%,266,10.8%,2,0.1%,11,0.4%,130,5.3%,190,7.7%,140,06,075,010201,,,,
Census Tract 102.02,"2,074","1,435",69.2%,26,1.3%,0,0.0%,351,16.9%,3,0.1%,19,0.9%,105,5.1%,135,6.5%,140,06,075,010202,,,,
Census Tract 103,"4,062","2,494",61.4%,45,1.1%,0,0.0%,"1,028",25.3%,4,0.1%,29,0.7%,199,4.9%,263,6.5%,140,06,075,010300,,,,
Census Tract 104.01,"2,214","1,259",56.9%,14,0.6%,1,0.0%,643,29.0%,7,0.3%,9,0.4%,115,5.2%,166,7.5%,140,06,075,010401,,,,
Census Tract 104.02,"2,293","1,473",64.2%,15,0.7%,3,0.1%,462,20.1%,1,0.0%,14,0.6%,136,5.9%,189,8.2%,140,06,075,010402,,,,
Census Tract 105,"3,234","1,529",47.3%,93,2.9%,5,0.2%,"1,202",37.2%,9,0.3%,31,1.0%,128,4.0%,237,7.3%,140,06,075,010500,,,,
Census Tract 106,"3,718","1,415",38.1%,69,1.9%,0,0.0%,"1,727",46.4%,11,0.3%,27,0.7%,137,3.7%,332,8.9%,140,06,075,010600,,,,
Census Tract 107.01,"3,721",248,6.7%,95,2.6%,4,0.1%,"3,188",85.7%,7,0.2%,8,0.2%,47,1.3%,124,3.3%,140,06,075,010701,,,,
Census Tract 107.02,"1,626",649,39.9%,16,1.0%,0,0.0%,771,47.4%,1,0.1%,4,0.2%,50,3.1%,135,8.3%,140,06,075,010702,,,,
Census Tract 108,"4,573","2,239",49.0%,44,1.0%,0,0.0%,"1,813",39.6%,1,0.0%,28,0.6%,183,4.0%,265,5.8%,140,06,075,010800,,,,
Census Tract 109.01,"2,338","1,574",67.3%,18,0.8%,2,0.1%,418,17.9%,0,0.0%,16,0.7%,142,6.1%,168,7.2%,140,06,075,010901,,,,
Census Tract 109.02,"2,332","1,351",57.9%,38,1.6%,2,0.1%,613,26.3%,5,0.2%,4,0.2%,115,4.9%,204,8.7%,140,06,075,010902,,,,
Census Tract 110.01,"3,079","1,445",46.9%,50,1.6%,4,0.1%,"1,177",38.2%,4,0.1%,5,0.2%,153,5.0%,241,7.8%,140,06,075,011001,,,,
Census Tract 110.02,"2,363","1,096",46.4%,46,1.9%,1,0.0%,913,38.6%,2,0.1%,16,0.7%,125,5.3%,164,6.9%,140,06,075,011002,,,,
Census Tract 111.01,"3,143","1,512",48.1%,62,2.0%,3,0.1%,"1,089",34.6%,0,0.0%,15,0.5%,162,5.2%,300,9.5%,140,06,075,011101,,,,
Census Tract 111.02,"2,504","1,080",43.1%,107,4.3%,10,0.4%,871,34.8%,6,0.2%,19,0.8%,152,6.1%,259,10.3%,140,06,075,011102,,,,
Census Tract 112,"3,441","1,934",56.2%,44,1.3%,2,0.1%,"1,047",30.4%,2,0.1%,17,0.5%,143,4.2%,252,7.3%,140,06,075,011200,,,,
Census Tract 113,"3,068",517,16.9%,48,1.6%,2,0.1%,"2,304",75.1%,2,0.1%,8,0.3%,73,2.4%,114,3.7%,140,06,075,011300,,,,
Census Tract 117,"1,905",655,34.4%,136,7.1%,3,0.2%,774,40.6%,4,0.2%,15,0.8%,86,4.5%,232,12.2%,140,06,075,011700,,,,
Census Tract 118,"1,589",144,9.1%,10,0.6%,4,0.3%,"1,338",84.2%,0,0.0%,8,0.5%,27,1.7%,58,3.7%,140,06,075,011800,,,,
Census Tract 119.01,"2,275","1,172",51.5%,79,3.5%,8,0.4%,662,29.1%,13,0.6%,22,1.0%,99,4.4%,220,9.7%,140,06,075,011901,,,,
Census Tract 119.02,"2,738","1,360",49.7%,73,2.7%,6,0.2%,754,27.5%,1,0.0%,19,0.7%,152,5.6%,373,13.6%,140,06,075,011902,,,,
Census Tract 120.01,"2,002",853,42.6%,86,4.3%,2,0.1%,554,27.7%,0,0.0%,9,0.4%,126,6.3%,372,18.6%,140,06,075,012001,,,,
Census Tract 120.02,"2,267",861,38.0%,91,4.0%,13,0.6%,797,35.2%,5,0.2%,26,1.1%,100,4.4%,374,16.5%,140,06,075,012002,,,,
Census Tract 121,"3,455","1,474",42.7%,208,6.0%,25,0.7%,999,28.9%,17,0.5%,27,0.8%,187,5.4%,518,15.0%,140,06,075,012100,,,,
Census Tract 122.02,"2,490",760,30.5%,266,10.7%,12,0.5%,692,27.8%,17,0.7%,16,0.6%,115,4.6%,612,24.6%,140,06,075,012202,,,,
Census Tract 122.03,"1,931",591,30.6%,166,8.6%,3,0.2%,487,25.2%,2,0.1%,14,0.7%,98,5.1%,570,29.5%,140,06,075,012203,,,,
Census Tract 122.04,"2,570",924,36.0%,121,4.7%,9,0.4%,619,24.1%,6,0.2%,22,0.9%,101,3.9%,768,29.9%,140,06,075,012204,,,,
Census Tract 123.01,"3,088",881,28.5%,424,13.7%,47,1.5%,811,26.3%,31,1.0%,17,0.6%,125,4.0%,752,24.4%,140,06,075,012301,,,,
Census Tract 123.02,"2,875","1,042",36.2%,224,7.8%,12,0.4%,"1,008",35.1%,13,0.5%,20,0.7%,142,4.9%,414,14.4%,140,06,075,012302,,,,
Census Tract 124.03,"2,157",499,23.1%,157,7.3%,7,0.3%,763,35.4%,8,0.4%,26,1.2%,86,4.0%,611,28.3%,140,06,075,012403,,,,
Census Tract 124.04,"3,849",809,21.0%,460,12.0%,18,0.5%,603,15.7%,24,0.6%,31,0.8%,134,3.5%,"1,770",46.0%,140,06,075,012404,,,,
Census Tract 124.05,"4,152","1,732",41.7%,334,8.0%,13,0.3%,"1,128",27.2%,9,0.2%,21,0.5%,197,4.7%,718,17.3%,140,06,075,012405,,,,
